KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
9333,0.18,0.11,0.71,8.4,HoltWinters,4.491,ml,HoltWinters,,,,4.491
132203,0.07,0.11,0.82,9.21,HoltWinters,4.494,ml,HoltWinters,,,,4.494
9719,0.07,0.04,0.89,7.08,HoltWinters,4.495,ml,HoltWinters,,,,4.495
3143,0.0,0.62,0.38,11.15,RandomForest,4.507,ml,RandomForest,,,,4.507
5000,0.12,0.5,0.38,23.36,HoltWinters,4.546,ml,HoltWinters,,,,4.546
2613,0.28,0.65,0.07,18.21,RandomForest,4.577,ml,RandomForest,,,,4.577
133507,0.14,0.08,0.78,11.03,SARIMAX,4.592,ml,SARIMAX,,,,4.592
5015,0.1,0.06,0.84,7.91,HoltWinters,4.599,ml,HoltWinters,,,,4.599
9317,0.59,0.22,0.19,8.99,RandomForest,4.61,ml,RandomForest,,,,4.61
155048,0.02,0.11,0.87,8.98,RandomForest,4.637,ml,RandomForest,,,,4.637
5035,0.04,0.4,0.56,14.91,HoltWinters,4.641,ml,HoltWinters,,,,4.641
139407,0.2,0.09,0.71,9.46,SARIMAX,4.649,ml,SARIMAX,,,,4.649
9346,0.26,0.36,0.38,11.68,HoltWinters,4.676,ml,HoltWinters,,,,4.676
1890,0.0,0.34,0.66,12.4,HoltWinters,4.692,ml,HoltWinters,,,,4.692
5045,0.05,0.01,0.94,8.58,RandomForest,4.693,ml,RandomForest,,,,4.693
1279,0.57,0.0,0.43,7.23,RandomForest,4.703,ml,RandomForest,,,,4.703
3749,0.15,0.08,0.77,5.95,HoltWinters,4.705,ml,HoltWinters,,,,4.705
5098,0.01,0.16,0.83,11.33,SARIMAX,4.705,ml,SARIMAX,,,,4.705
84802,0.19,0.04,0.77,11.58,HoltWinters,4.705,ml,HoltWinters,,,,4.705
163002,0.1,0.15,0.75,7.92,RandomForest,4.743,ml,RandomForest,,,,4.743
1106,0.02,0.0,0.98,7.91,RandomForest,4.744,ml,RandomForest,,,,4.744
152001,0.21,0.06,0.73,7.91,RandomForest,4.751,ml,RandomForest,,,,4.751
6429,0.45,0.26,0.29,11.14,HoltWinters,4.769,ml,HoltWinters,,,,4.769
1756,0.03,0.06,0.91,6.37,HoltWinters,4.779,ml,HoltWinters,,,,4.779
3136,0.0,0.59,0.41,16.99,SARIMAX,4.799,ml,SARIMAX,,,,4.799
3544,0.0,0.28,0.72,9.92,SARIMAX,4.8,ml,SARIMAX,,,,4.8
1064,0.06,0.08,0.86,9.35,RandomForest,4.814,ml,RandomForest,,,,4.814
133577,0.58,0.27,0.15,11.62,RandomForest,4.843,ml,RandomForest,,,,4.843
3127,0.05,0.27,0.68,11.58,HoltWinters,4.844,ml,HoltWinters,,,,4.844
133686,0.12,0.02,0.86,6.15,SARIMAX,4.851,ml,SARIMAX,,,,4.851
49212,0.06,0.07,0.87,8.06,HoltWinters,4.865,ml,HoltWinters,,,,4.865
3760,0.0,0.48,0.52,28.16,SARIMAX,4.867,ml,SARIMAX,,,,4.867
133608,0.0,0.31,0.69,11.95,RandomForest,4.871,ml,RandomForest,,,,4.871
6446,0.21,0.44,0.35,11.41,SARIMAX,4.875,ml,SARIMAX,,,,4.875
133617,0.05,0.07,0.88,7.58,SARIMAX,4.879,ml,SARIMAX,,,,4.879
3368,0.12,0.01,0.87,8.96,RandomForest,4.89,ml,RandomForest,,,,4.89
8774,0.0,0.47,0.53,9.5,RandomForest,4.894,ml,RandomForest,,,,4.894
1921,0.0,0.51,0.49,25.85,RandomForest,4.896,ml,RandomForest,,,,4.896
163001,0.02,0.05,0.93,7.6,RandomForest,4.903,ml,RandomForest,,,,4.903
133787,0.19,0.03,0.78,9.62,SARIMAX,4.904,ml,SARIMAX,,,,4.904
1071,0.13,0.09,0.78,9.6,HoltWinters,4.906,ml,HoltWinters,,,,4.906
3750,0.4,0.01,0.59,8.48,RandomForest,4.907,ml,RandomForest,,,,4.907
133633,0.11,0.2,0.69,12.1,SARIMAX,4.917,ml,SARIMAX,,,,4.917
3008,0.0,0.56,0.44,12.72,RandomForest,4.924,ml,RandomForest,,,,4.924
3049,0.0,0.09,0.91,11.85,SARIMAX,4.932,ml,SARIMAX,,,,4.932
9222,0.29,0.27,0.44,9.54,SARIMAX,4.939,ml,SARIMAX,,,,4.939
54403,0.0,0.25,0.75,10.37,RandomForest,4.942,ml,RandomForest,,,,4.942
133685,0.45,0.11,0.44,8.6,RandomForest,4.96,ml,RandomForest,,,,4.96
2588,0.01,0.05,0.94,9.53,SARIMAX,4.968,ml,SARIMAX,,,,4.968
3388,0.16,0.2,0.64,9.67,RandomForest,4.98,ml,RandomForest,,,,4.98
133611,0.17,0.01,0.82,9.57,SARIMAX,4.994,ml,SARIMAX,,,,4.994
69201,0.0,0.05,0.95,9.68,RandomForest,5.017,ml,RandomForest,,,,5.017
3797,1.0,0.0,0.0,128.53,RandomForest,5.028,ml,RandomForest,,,,5.028
133241,0.19,0.19,0.62,14.84,SARIMAX,5.055,ml,SARIMAX,,,,5.055
9312,0.0,0.09,0.91,9.7,SARIMAX,5.055,ml,SARIMAX,,,,5.055
2887,0.0,0.18,0.82,10.24,SARIMAX,5.058,ml,SARIMAX,,,,5.058
133546,0.12,0.03,0.85,8.92,SARIMAX,5.075,ml,SARIMAX,,,,5.075
1969,0.37,0.17,0.46,9.4,RandomForest,5.075,ml,RandomForest,,,,5.075
5041,0.13,0.11,0.76,12.26,HoltWinters,5.077,ml,HoltWinters,,,,5.077
57403,0.32,0.0,0.68,13.62,RandomForest,5.078,ml,RandomForest,,,,5.078
7141,0.0,0.46,0.54,21.9,SARIMAX,5.104,ml,SARIMAX,,,,5.104
133689,0.05,0.12,0.83,9.0,RandomForest,5.115,ml,RandomForest,,,,5.115
129003,0.0,0.43,0.57,13.07,HoltWinters,5.117,ml,HoltWinters,,,,5.117
44002,0.0,0.1,0.9,9.97,RandomForest,5.121,ml,RandomForest,,,,5.121
1781,0.02,0.0,0.98,7.25,HoltWinters,5.122,ml,HoltWinters,,,,5.122
83602,0.3,0.45,0.25,10.5,HoltWinters,5.132,ml,HoltWinters,,,,5.132
133789,0.51,0.08,0.41,8.87,RandomForest,5.134,ml,RandomForest,,,,5.134
3006,0.0,0.51,0.49,28.56,RandomForest,5.135,ml,RandomForest,,,,5.135
133531,0.12,0.0,0.88,9.34,HoltWinters,5.136,ml,HoltWinters,,,,5.136
133291,,,,,HoltWinters,5.14,ml,HoltWinters,,,,5.14
1104,0.04,0.06,0.9,7.13,HoltWinters,5.142,ml,HoltWinters,,,,5.142
1105,0.12,0.01,0.87,8.84,SARIMAX,5.151,ml,SARIMAX,,,,5.151
133487,0.22,0.35,0.43,8.35,HoltWinters,5.153,ml,HoltWinters,,,,5.153
133557,0.46,0.25,0.29,13.81,RandomForest,5.154,ml,RandomForest,,,,5.154
3370,0.06,0.1,0.84,8.12,SARIMAX,5.162,ml,SARIMAX,,,,5.162
1914,0.15,0.05,0.8,12.44,SARIMAX,5.167,ml,SARIMAX,,,,5.167
66202,0.0,0.11,0.89,17.77,RandomForest,5.169,ml,RandomForest,,,,5.169
133250,0.02,0.17,0.81,11.73,RandomForest,5.173,ml,RandomForest,,,,5.173
136930,0.0,0.18,0.82,9.94,HoltWinters,5.173,ml,HoltWinters,,,,5.173
3331,0.01,0.17,0.82,8.95,HoltWinters,5.182,ml,HoltWinters,,,,5.182
3009,0.0,0.37,0.63,26.59,HoltWinters,5.199,ml,HoltWinters,,,,5.199
104801,0.0,0.3,0.7,8.48,RandomForest,5.215,ml,RandomForest,,,,5.215
133455,0.02,0.05,0.93,8.49,HoltWinters,5.215,ml,HoltWinters,,,,5.215
6452,0.08,0.22,0.7,11.69,RandomForest,5.216,ml,RandomForest,,,,5.216
1918,0.04,0.14,0.82,8.96,SARIMAX,5.221,ml,SARIMAX,,,,5.221
133638,0.0,0.41,0.59,11.28,RandomForest,5.227,ml,RandomForest,,,,5.227
3063,0.0,0.24,0.76,9.43,SARIMAX,5.229,ml,SARIMAX,,,,5.229
133619,0.21,0.02,0.77,9.09,SARIMAX,5.236,ml,SARIMAX,,,,5.236
92203,0.0,0.25,0.75,8.6,HoltWinters,5.24,ml,HoltWinters,,,,5.24
133297,0.06,0.0,0.94,8.46,SARIMAX,5.243,ml,SARIMAX,,,,5.243
2903,0.02,0.14,0.84,9.23,HoltWinters,5.245,ml,HoltWinters,,,,5.245
133210,0.36,0.27,0.37,13.54,HoltWinters,5.264,ml,HoltWinters,,,,5.264
133322,0.2,0.46,0.34,17.13,SARIMAX,5.267,ml,SARIMAX,,,,5.267
133256,0.05,0.06,0.89,8.26,HoltWinters,5.268,ml,HoltWinters,,,,5.268
135049,0.0,0.21,0.79,104.14,SARIMAX,5.272,ml,SARIMAX,,,,5.272
3381,0.1,0.19,0.71,11.63,HoltWinters,5.288,ml,HoltWinters,,,,5.288
3408,0.0,0.52,0.48,281.68,HoltWinters,5.288,ml,HoltWinters,,,,5.288
5072,0.0,0.37,0.63,12.4,RandomForest,5.296,ml,RandomForest,,,,5.296
2202,0.18,0.0,0.82,6.36,SARIMAX,5.298,ml,SARIMAX,,,,5.298
3438,0.09,0.06,0.85,8.76,RandomForest,5.301,ml,RandomForest,,,,5.301
155049,0.0,0.04,0.96,10.7,RandomForest,5.32,ml,RandomForest,,,,5.32
7079,0.44,0.0,0.56,8.87,SARIMAX,5.324,ml,SARIMAX,,,,5.324
135037,0.32,0.22,0.46,14.85,RandomForest,5.333,ml,RandomForest,,,,5.333
91401,0.03,0.19,0.78,10.89,HoltWinters,5.34,ml,HoltWinters,,,,5.34
3338,0.03,0.05,0.92,7.03,RandomForest,5.343,ml,RandomForest,,,,5.343
153002,0.03,0.35,0.62,6.73,HoltWinters,5.345,ml,HoltWinters,,,,5.345
133298,0.04,0.0,0.96,8.56,RandomForest,5.347,ml,RandomForest,,,,5.347
3171,0.0,0.3,0.7,10.68,HoltWinters,5.356,ml,HoltWinters,,,,5.356
133698,0.06,0.02,0.92,7.43,RandomForest,5.359,ml,RandomForest,,,,5.359
114602,0.02,0.04,0.94,6.44,SARIMAX,5.365,ml,SARIMAX,,,,5.365
9313,0.0,0.18,0.82,11.46,SARIMAX,5.371,ml,SARIMAX,,,,5.371
85001,0.09,0.69,0.22,19.26,SARIMAX,5.386,ml,SARIMAX,,,,5.386
133652,0.03,0.09,0.88,8.22,RandomForest,5.396,ml,RandomForest,,,,5.396
160071,0.0,0.32,0.68,15.25,HoltWinters,5.398,ml,HoltWinters,,,,5.398
133629,0.02,0.05,0.93,10.16,SARIMAX,5.406,ml,SARIMAX,,,,5.406
3722,0.0,0.08,0.92,10.34,SARIMAX,5.406,ml,SARIMAX,,,,5.406
3339,0.0,0.21,0.79,10.37,RandomForest,5.414,ml,RandomForest,,,,5.414
3756,0.0,0.47,0.53,385.07,RandomForest,5.417,ml,RandomForest,,,,5.417
2998,0.0,0.01,0.99,7.64,SARIMAX,5.427,ml,SARIMAX,,,,5.427
7323,0.0,0.18,0.82,15.88,RandomForest,5.438,ml,RandomForest,,,,5.438
3141,0.0,0.57,0.43,68.83,SARIMAX,5.44,ml,SARIMAX,,,,5.44
133295,0.11,0.01,0.88,7.81,RandomForest,5.448,ml,RandomForest,,,,5.448
5088,0.02,0.17,0.81,10.5,RandomForest,5.458,ml,RandomForest,,,,5.458
9318,0.0,0.15,0.85,11.1,RandomForest,5.463,ml,RandomForest,,,,5.463
1788,0.63,0.21,0.16,11.44,HoltWinters,5.465,ml,HoltWinters,,,,5.465
3982,0.09,0.18,0.73,9.24,RandomForest,5.465,ml,RandomForest,,,,5.465
5024,0.0,0.49,0.51,38.86,SARIMAX,5.476,ml,SARIMAX,,,,5.476
133670,0.1,0.08,0.82,8.06,SARIMAX,5.502,ml,SARIMAX,,,,5.502
2715,0.09,0.88,0.03,32.87,RandomForest,5.504,ml,RandomForest,,,,5.504
8911,0.44,0.0,0.56,9.58,RandomForest,5.52,ml,RandomForest,,,,5.52
155099,0.01,0.17,0.82,9.09,SARIMAX,5.53,ml,SARIMAX,,,,5.53
133471,0.01,0.04,0.95,8.72,HoltWinters,5.532,ml,HoltWinters,,,,5.532
2738,0.02,0.11,0.87,6.67,SARIMAX,5.542,ml,SARIMAX,,,,5.542
8742,0.22,0.54,0.24,16.95,SARIMAX,5.543,ml,SARIMAX,,,,5.543
5006,0.33,0.4,0.27,11.37,SARIMAX,5.546,ml,SARIMAX,,,,5.546
133647,0.02,0.06,0.92,7.48,RandomForest,5.567,ml,RandomForest,,,,5.567
3158,0.08,0.05,0.87,11.78,SARIMAX,5.592,ml,SARIMAX,,,,5.592
133659,0.09,0.04,0.87,9.8,RandomForest,5.596,ml,RandomForest,,,,5.596
3347,0.29,0.31,0.4,6.65,RandomForest,5.596,ml,RandomForest,,,,5.596
133527,0.55,0.07,0.38,10.25,RandomForest,5.597,ml,RandomForest,,,,5.597
35804,0.11,0.3,0.59,12.02,RandomForest,5.617,ml,RandomForest,,,,5.617
133318,0.0,0.45,0.55,204.19,RandomForest,5.619,ml,RandomForest,,,,5.619
134141,0.23,0.26,0.51,11.12,RandomForest,5.62,ml,RandomForest,,,,5.62
155058,0.0,0.0,1.0,9.35,RandomForest,5.623,ml,RandomForest,,,,5.623
160012,0.0,0.74,0.26,28.2,HoltWinters,5.623,ml,HoltWinters,,,,5.623
1908,0.0,0.27,0.73,15.88,HoltWinters,5.623,ml,HoltWinters,,,,5.623
9335,0.14,0.13,0.73,9.49,RandomForest,5.626,ml,RandomForest,,,,5.626
3217,0.0,0.46,0.54,25.91,HoltWinters,5.629,ml,HoltWinters,,,,5.629
158601,0.0,0.16,0.84,10.35,SARIMAX,5.638,ml,SARIMAX,,,,5.638
2886,0.03,0.14,0.83,6.96,RandomForest,5.64,ml,RandomForest,,,,5.64
133569,0.0,0.19,0.81,9.32,HoltWinters,5.646,ml,HoltWinters,,,,5.646
3714,0.06,0.07,0.87,8.87,HoltWinters,5.648,ml,HoltWinters,,,,5.648
3497,0.11,0.5,0.39,10.23,HoltWinters,5.659,ml,HoltWinters,,,,5.659
3815,0.77,0.0,0.23,9.97,RandomForest,5.67,ml,RandomForest,,,,5.67
2605,0.22,0.11,0.67,8.88,RandomForest,5.672,ml,RandomForest,,,,5.672
133273,0.0,0.69,0.31,21.98,RandomForest,5.677,ml,RandomForest,,,,5.677
133306,0.29,0.29,0.42,13.48,SARIMAX,5.679,ml,SARIMAX,,,,5.679
9244,0.16,0.03,0.81,7.26,RandomForest,5.692,ml,RandomForest,,,,5.692
3733,0.25,0.0,0.75,8.43,RandomForest,5.694,ml,RandomForest,,,,5.694
8788,0.42,0.28,0.3,15.72,RandomForest,5.698,ml,RandomForest,,,,5.698
69401,0.0,0.34,0.66,13.4,RandomForest,5.702,ml,RandomForest,,,,5.702
5063,0.0,0.62,0.38,173.75,HoltWinters,5.705,ml,HoltWinters,,,,5.705
6428,0.48,0.11,0.41,18.02,HoltWinters,5.709,ml,HoltWinters,,,,5.709
9353,0.0,0.01,0.99,8.59,SARIMAX,5.716,ml,SARIMAX,,,,5.716
1107,0.14,0.17,0.69,11.52,HoltWinters,5.719,ml,HoltWinters,,,,5.719
9241,0.44,0.21,0.35,8.48,RandomForest,5.726,ml,RandomForest,,,,5.726
3955,0.33,0.11,0.56,9.94,HoltWinters,5.729,ml,HoltWinters,,,,5.729
66209,0.0,0.23,0.77,10.45,RandomForest,5.733,ml,RandomForest,,,,5.733
2729,0.01,0.0,0.99,8.87,SARIMAX,5.742,ml,SARIMAX,,,,5.742
7339,0.19,0.62,0.19,14.99,HoltWinters,5.742,ml,HoltWinters,,,,5.742
9311,0.06,0.0,0.94,9.35,RandomForest,5.744,ml,RandomForest,,,,5.744
155046,0.0,0.53,0.47,16.81,SARIMAX,5.75,ml,SARIMAX,,,,5.75
129401,0.89,0.0,0.11,45.01,RandomForest,5.752,ml,RandomForest,,,,5.752
2996,0.04,0.16,0.8,15.53,SARIMAX,5.76,ml,SARIMAX,,,,5.76
155022,0.51,0.04,0.45,12.61,HoltWinters,5.763,ml,HoltWinters,,,,5.763
136803,0.0,0.16,0.84,11.11,HoltWinters,5.766,ml,HoltWinters,,,,5.766
3132,0.07,0.15,0.78,10.31,HoltWinters,5.768,ml,HoltWinters,,,,5.768
125606,0.0,0.34,0.66,9.04,SARIMAX,5.771,ml,SARIMAX,,,,5.771
133702,0.1,0.07,0.83,8.53,RandomForest,5.778,ml,RandomForest,,,,5.778
1062,0.1,0.0,0.9,7.59,HoltWinters,5.779,ml,HoltWinters,,,,5.779
2789,0.0,0.23,0.77,9.52,RandomForest,5.786,ml,RandomForest,,,,5.786
1894,0.0,0.44,0.56,18.59,SARIMAX,5.787,ml,SARIMAX,,,,5.787
2612,0.0,0.0,1.0,7.34,RandomForest,5.787,ml,RandomForest,,,,5.787
2653,0.55,0.15,0.3,8.24,HoltWinters,5.788,ml,HoltWinters,,,,5.788
9720,0.02,0.0,0.98,8.0,RandomForest,5.788,ml,RandomForest,,,,5.788
63604,0.0,0.06,0.94,8.62,SARIMAX,5.791,ml,SARIMAX,,,,5.791
135009,0.0,0.1,0.9,10.89,SARIMAX,5.792,ml,SARIMAX,,,,5.792
1916,0.0,0.16,0.84,13.4,HoltWinters,5.794,ml,HoltWinters,,,,5.794
134072,0.32,0.0,0.68,18.74,HoltWinters,5.795,ml,HoltWinters,,,,5.795
8750,0.0,0.49,0.51,147.27,HoltWinters,5.798,ml,HoltWinters,,,,5.798
155034,0.27,0.5,0.23,12.99,SARIMAX,5.806,ml,SARIMAX,,,,5.806
39605,0.0,0.38,0.62,14.01,RandomForest,5.819,ml,RandomForest,,,,5.819
157601,0.08,0.08,0.84,8.6,RandomForest,5.82,ml,RandomForest,,,,5.82
2651,0.0,0.52,0.48,31.99,SARIMAX,5.826,ml,SARIMAX,,,,5.826
8899,0.18,0.18,0.64,9.21,SARIMAX,5.832,ml,SARIMAX,,,,5.832
133321,0.13,0.37,0.5,18.38,RandomForest,5.834,ml,RandomForest,,,,5.834
3984,0.0,0.13,0.87,11.34,HoltWinters,5.835,ml,HoltWinters,,,,5.835
136805,0.16,0.21,0.63,10.42,SARIMAX,5.837,ml,SARIMAX,,,,5.837
134140,0.04,0.21,0.75,12.04,HoltWinters,5.863,ml,HoltWinters,,,,5.863
1777,0.09,0.0,0.91,7.26,HoltWinters,5.863,ml,HoltWinters,,,,5.863
125610,0.0,0.61,0.39,18.93,RandomForest,5.867,ml,RandomForest,,,,5.867
1904,0.0,0.31,0.69,16.03,HoltWinters,5.867,ml,HoltWinters,,,,5.867
2994,0.0,0.7,0.3,969.95,HoltWinters,5.868,ml,HoltWinters,,,,5.868
155025,0.72,0.03,0.25,12.16,RandomForest,5.872,ml,RandomForest,,,,5.872
159004,0.19,0.21,0.6,14.05,RandomForest,5.873,ml,RandomForest,,,,5.873
134121,0.0,0.02,0.98,8.48,SARIMAX,5.879,ml,SARIMAX,,,,5.879
160050,0.0,0.25,0.75,19.52,SARIMAX,5.882,ml,SARIMAX,,,,5.882
1814,0.43,0.01,0.56,9.61,RandomForest,5.885,ml,RandomForest,,,,5.885
133614,0.03,0.08,0.89,7.32,SARIMAX,5.887,ml,SARIMAX,,,,5.887
134036,0.28,0.18,0.54,8.93,RandomForest,5.888,ml,RandomForest,,,,5.888
1110,0.02,0.0,0.98,7.25,RandomForest,5.901,ml,RandomForest,,,,5.901
136808,0.22,0.1,0.68,11.49,RandomForest,5.909,ml,RandomForest,,,,5.909
6467,0.03,0.11,0.86,12.07,HoltWinters,5.916,ml,HoltWinters,,,,5.916
8794,0.38,0.35,0.27,12.6,SARIMAX,5.92,ml,SARIMAX,,,,5.92
8308,0.47,0.18,0.35,8.89,SARIMAX,5.932,ml,SARIMAX,,,,5.932
107801,0.0,0.53,0.47,33.83,RandomForest,5.936,ml,RandomForest,,,,5.936
3739,0.35,0.18,0.47,9.07,HoltWinters,5.936,ml,HoltWinters,,,,5.936
3177,0.0,0.91,0.09,21.98,SARIMAX,5.939,ml,SARIMAX,,,,5.939
133561,0.53,0.04,0.43,9.22,RandomForest,5.94,ml,RandomForest,,,,5.94
160045,0.02,0.51,0.47,11.9,RandomForest,5.94,ml,RandomForest,,,,5.94
5058,0.0,0.23,0.77,67.17,RandomForest,5.942,ml,RandomForest,,,,5.942
1809,0.0,0.42,0.58,68.91,RandomForest,5.946,ml,RandomForest,,,,5.946
1794,0.42,0.06,0.52,22.12,RandomForest,5.95,ml,RandomForest,,,,5.95
133357,0.27,0.22,0.51,12.28,RandomForest,5.952,ml,RandomForest,,,,5.952
4260,0.0,0.44,0.56,254.11,RandomForest,5.955,ml,RandomForest,,,,5.955
155055,0.0,0.31,0.69,13.38,SARIMAX,5.966,ml,SARIMAX,,,,5.966
133666,0.0,0.44,0.56,11.05,RandomForest,5.967,ml,RandomForest,,,,5.967
133481,0.0,0.35,0.65,17.78,SARIMAX,5.968,ml,SARIMAX,,,,5.968
1119,0.06,0.06,0.88,10.05,RandomForest,5.969,ml,RandomForest,,,,5.969
133644,0.16,0.09,0.75,9.04,HoltWinters,5.973,ml,HoltWinters,,,,5.973
153001,0.0,0.13,0.87,10.35,HoltWinters,6.0,ml,HoltWinters,,,,6.0
2912,0.13,0.13,0.74,10.82,SARIMAX,6.002,ml,SARIMAX,,,,6.002
133480,0.38,0.39,0.23,12.8,RandomForest,6.011,ml,RandomForest,,,,6.011
133459,0.43,0.19,0.38,9.83,HoltWinters,6.026,ml,HoltWinters,,,,6.026
155042,0.0,0.06,0.94,12.3,SARIMAX,6.028,ml,SARIMAX,,,,6.028
133616,0.04,0.1,0.86,8.05,HoltWinters,6.029,ml,HoltWinters,,,,6.029
155054,0.51,0.03,0.46,13.94,HoltWinters,6.04,ml,HoltWinters,,,,6.04
2250,0.54,0.12,0.34,9.54,SARIMAX,6.046,ml,SARIMAX,,,,6.046
8755,,,,,SARIMAX,6.049,ml,SARIMAX,,,,6.049
6431,0.05,0.41,0.54,11.88,RandomForest,6.057,ml,RandomForest,,,,6.057
1266,0.38,0.25,0.37,8.53,SARIMAX,6.067,ml,SARIMAX,,,,6.067
64403,0.0,0.22,0.78,7.44,SARIMAX,6.073,ml,SARIMAX,,,,6.073
90401,0.41,0.29,0.3,12.39,SARIMAX,6.091,ml,SARIMAX,,,,6.091
133441,0.07,0.39,0.54,8.92,RandomForest,6.093,ml,RandomForest,,,,6.093
155112,0.17,0.17,0.66,12.66,RandomForest,6.093,ml,RandomForest,,,,6.093
133662,0.0,0.1,0.9,103.84,SARIMAX,6.094,ml,SARIMAX,,,,6.094
1077,0.34,0.05,0.61,7.46,SARIMAX,6.097,ml,SARIMAX,,,,6.097
1078,0.21,0.1,0.69,9.78,SARIMAX,6.097,ml,SARIMAX,,,,6.097
155111,0.18,0.11,0.71,10.16,RandomForest,6.099,ml,RandomForest,,,,6.099
155047,0.2,0.03,0.77,12.39,RandomForest,6.129,ml,RandomForest,,,,6.129
3256,0.0,0.11,0.89,15.31,RandomForest,6.132,ml,RandomForest,,,,6.132
3316,0.38,0.14,0.48,7.95,SARIMAX,6.137,ml,SARIMAX,,,,6.137
133506,0.45,0.34,0.21,17.84,HoltWinters,6.155,ml,HoltWinters,,,,6.155
8160,0.16,0.1,0.74,11.71,HoltWinters,6.158,ml,HoltWinters,,,,6.158
135069,0.71,0.08,0.21,10.79,RandomForest,6.164,ml,RandomForest,,,,6.164
133650,0.85,0.05,0.1,10.25,RandomForest,6.166,ml,RandomForest,,,,6.166
3173,0.0,0.61,0.39,18.23,HoltWinters,6.168,ml,HoltWinters,,,,6.168
133655,0.33,0.27,0.4,9.5,RandomForest,6.169,ml,RandomForest,,,,6.169
2092,0.0,0.27,0.73,13.71,RandomForest,6.181,ml,RandomForest,,,,6.181
133354,0.08,0.05,0.87,9.23,RandomForest,6.182,ml,RandomForest,,,,6.182
9404,0.0,0.63,0.37,11.81,RandomForest,6.192,ml,RandomForest,,,,6.192
3350,0.71,0.0,0.29,9.87,RandomForest,6.193,ml,RandomForest,,,,6.193
133664,0.41,0.13,0.46,8.77,RandomForest,6.199,ml,RandomForest,,,,6.199
3446,0.23,0.16,0.61,8.47,RandomForest,6.204,ml,RandomForest,,,,6.204
133651,0.1,0.17,0.73,8.65,SARIMAX,6.207,ml,SARIMAX,,,,6.207
5085,0.11,0.21,0.68,12.19,SARIMAX,6.216,ml,SARIMAX,,,,6.216
134167,0.39,0.53,0.08,12.45,RandomForest,6.218,ml,RandomForest,,,,6.218
4080,0.15,0.33,0.52,12.43,RandomForest,6.218,ml,RandomForest,,,,6.218
4078,0.04,0.06,0.9,10.08,RandomForest,6.22,ml,RandomForest,,,,6.22
1073,0.0,0.05,0.95,9.45,SARIMAX,6.223,ml,SARIMAX,,,,6.223
2252,0.23,0.32,0.45,19.44,RandomForest,6.241,ml,RandomForest,,,,6.241
136904,0.25,0.27,0.48,8.1,SARIMAX,6.245,ml,SARIMAX,,,,6.245
136915,0.3,0.15,0.55,10.95,HoltWinters,6.245,ml,HoltWinters,,,,6.245
1101,0.05,0.01,0.94,7.57,RandomForest,6.255,ml,RandomForest,,,,6.255
3056,0.15,0.34,0.51,57.25,HoltWinters,6.256,ml,HoltWinters,,,,6.256
133271,0.0,0.12,0.88,10.29,SARIMAX,6.26,ml,SARIMAX,,,,6.26
